solver_a,solver_b,split,scenario_id,scenario_key,timestamp_a,timestamp_b,signed_gap_a_minus_b,abs_gap
Hydrostatic,MUSCL-HR,train,scenario_000102,train:scenario_000102,0.17742851376533508,0.17741164565086365,1.6868114471435547e-05,1.6868114471435547e-05
Hydrostatic,MUSCL-HR,train,scenario_000103,train:scenario_000103,0.17680011689662933,0.1766451597213745,0.00015495717525482178,0.00015495717525482178
Hydrostatic,MUSCL-HR,train,scenario_000104,train:scenario_000104,0.1774478554725647,0.17744697630405426,8.791685104370117e-07,8.791685104370117e-07
Hydrostatic,MUSCL-HR,train,scenario_000105,train:scenario_000105,0.17720310389995575,0.177178755402565,2.434849739074707e-05,2.434849739074707e-05
Hydrostatic,MUSCL-HR,train,scenario_000106,train:scenario_000106,0.17739377915859222,0.17738434672355652,9.432435035705566e-06,9.432435035705566e-06
Hydrostatic,MUSCL-HR,train,scenario_000107,train:scenario_000107,0.17746348679065704,0.17746010422706604,3.382563591003418e-06,3.382563591003418e-06
Hydrostatic,MUSCL-HR,train,scenario_000108,train:scenario_000108,0.17733685672283173,0.17729982733726501,3.7029385566711426e-05,3.7029385566711426e-05
Hydrostatic,MUSCL-HR,train,scenario_000109,train:scenario_000109,0.17715837061405182,0.1770911067724228,6.726384162902832e-05,6.726384162902832e-05
Hydrostatic,MUSCL-HR,train,scenario_000110,train:scenario_000110,0.17747394740581512,0.17747391760349274,2.9802322387695312e-08,2.9802322387695312e-08
Hydrostatic,MUSCL-HR,train,scenario_000111,train:scenario_000111,0.17747117578983307,0.17747029662132263,8.791685104370117e-07,8.791685104370117e-07
Hydrostatic,MUSCL-HR,train,scenario_000112,train:scenario_000112,0.17747457325458527,0.17747434973716736,2.2351741790771484e-07,2.2351741790771484e-07
Hydrostatic,MUSCL-HR,train,scenario_000113,train:scenario_000113,0.1773490309715271,0.17733760178089142,1.1429190635681152e-05,1.1429190635681152e-05
Hydrostatic,MUSCL-HR,train,scenario_000114,train:scenario_000114,0.17747384309768677,0.17747414112091064,-2.980232238769531e-07,2.980232238769531e-07
Hydrostatic,MUSCL-HR,train,scenario_000115,train:scenario_000115,0.17707806825637817,0.17704899609088898,2.9072165489196777e-05,2.9072165489196777e-05
Hydrostatic,MUSCL-HR,train,scenario_000116,train:scenario_000116,0.17739595472812653,0.17739127576351166,4.678964614868164e-06,4.678964614868164e-06
Hydrostatic,MUSCL-HR,train,scenario_000117,train:scenario_000117,0.17745427787303925,0.17744827270507812,6.0051679611206055e-06,6.0051679611206055e-06
Hydrostatic,MUSCL-HR,train,scenario_000118,train:scenario_000118,0.17743217945098877,0.17743073403835297,1.4454126358032227e-06,1.4454126358032227e-06
Hydrostatic,MUSCL-HR,train,scenario_000119,train:scenario_000119,0.17747168242931366,0.17747090756893158,7.748603820800781e-07,7.748603820800781e-07
Hydrostatic,MUSCL-HR,train,scenario_000120,train:scenario_000120,0.17745208740234375,0.17744675278663635,5.334615707397461e-06,5.334615707397461e-06
Hydrostatic,MUSCL-HR,train,scenario_000121,train:scenario_000121,0.17742812633514404,0.17741774022579193,1.0386109352111816e-05,1.0386109352111816e-05
Hydrostatic,MUSCL-HR,train,scenario_000122,train:scenario_000122,0.17728528380393982,0.17728149890899658,3.7848949432373047e-06,3.7848949432373047e-06
Hydrostatic,MUSCL-HR,train,scenario_000123,train:scenario_000123,0.17737261950969696,0.17735226452350616,2.03549861907959e-05,2.03549861907959e-05
Hydrostatic,MUSCL-HR,train,scenario_000124,train:scenario_000124,0.17746572196483612,0.1774657666683197,-4.470348358154297e-08,4.470348358154297e-08
Hydrostatic,MUSCL-HR,train,scenario_000125,train:scenario_000125,0.1774316430091858,0.17742392420768738,7.718801498413086e-06,7.718801498413086e-06
Hydrostatic,MUSCL-HR,train,scenario_000126,train:scenario_000126,0.1773352473974228,0.17729692161083221,3.832578659057617e-05,3.832578659057617e-05
Hydrostatic,MUSCL-HR,train,scenario_000127,train:scenario_000127,0.17743735015392303,0.1774386167526245,-1.2665987014770508e-06,1.2665987014770508e-06
Hydrostatic,MUSCL-HR,train,scenario_000128,train:scenario_000128,0.1774459034204483,0.17743335664272308,1.2546777725219727e-05,1.2546777725219727e-05
Hydrostatic,MUSCL-HR,train,scenario_000129,train:scenario_000129,0.1774730384349823,0.17747263610363007,4.023313522338867e-07,4.023313522338867e-07
Hydrostatic,MUSCL-HR,train,scenario_000130,train:scenario_000130,0.17738939821720123,0.17733249068260193,5.69075345993042e-05,5.69075345993042e-05
Hydrostatic,MUSCL-HR,train,scenario_000131,train:scenario_000131,0.17747437953948975,0.1774742305278778,1.4901161193847656e-07,1.4901161193847656e-07
Hydrostatic,MUSCL-HR,train,scenario_000132,train:scenario_000132,0.17738139629364014,0.17736271023750305,1.868605613708496e-05,1.868605613708496e-05
Hydrostatic,MUSCL-HR,train,scenario_000133,train:scenario_000133,0.17721889913082123,0.17720088362693787,1.8015503883361816e-05,1.8015503883361816e-05
Hydrostatic,MUSCL-HR,train,scenario_000134,train:scenario_000134,0.17745134234428406,0.17744669318199158,4.649162292480469e-06,4.649162292480469e-06
Hydrostatic,MUSCL-HR,train,scenario_000135,train:scenario_000135,0.1774439960718155,0.17744088172912598,3.11434268951416e-06,3.11434268951416e-06
Hydrostatic,MUSCL-HR,train,scenario_000136,train:scenario_000136,0.17746856808662415,0.1774688959121704,-3.2782554626464844e-07,3.2782554626464844e-07
Hydrostatic,MUSCL-HR,train,scenario_000137,train:scenario_000137,0.17744404077529907,0.17744572460651398,-1.6838312149047852e-06,1.6838312149047852e-06
Hydrostatic,MUSCL-HR,train,scenario_000138,train:scenario_000138,0.17687146365642548,0.1767861545085907,8.530914783477783e-05,8.530914783477783e-05
Hydrostatic,MUSCL-HR,train,scenario_000139,train:scenario_000139,0.1774672269821167,0.177467942237854,-7.152557373046875e-07,7.152557373046875e-07
Hydrostatic,MUSCL-HR,train,scenario_000140,train:scenario_000140,0.17740650475025177,0.17738279700279236,2.370774745941162e-05,2.370774745941162e-05
Hydrostatic,MUSCL-HR,train,scenario_000141,train:scenario_000141,0.17747467756271362,0.17747466266155243,1.4901161193847656e-08,1.4901161193847656e-08
Hydrostatic,MUSCL-HR,train,scenario_000142,train:scenario_000142,0.17691569030284882,0.1768973469734192,1.8343329429626465e-05,1.8343329429626465e-05
Hydrostatic,MUSCL-HR,train,scenario_000143,train:scenario_000143,0.17747236788272858,0.17747215926647186,2.086162567138672e-07,2.086162567138672e-07
Hydrostatic,MUSCL-HR,train,scenario_000144,train:scenario_000144,0.17738912999629974,0.17738451063632965,4.6193599700927734e-06,4.6193599700927734e-06
Hydrostatic,MUSCL-HR,train,scenario_000145,train:scenario_000145,0.17742741107940674,0.1774253100156784,2.1010637283325195e-06,2.1010637283325195e-06
Hydrostatic,MUSCL-HR,train,scenario_000146,train:scenario_000146,0.17744360864162445,0.17743714153766632,6.467103958129883e-06,6.467103958129883e-06
Hydrostatic,MUSCL-HR,train,scenario_000147,train:scenario_000147,0.17738552391529083,0.17732420563697815,6.13182783126831e-05,6.13182783126831e-05
Hydrostatic,MUSCL-HR,train,scenario_000148,train:scenario_000148,0.17747458815574646,0.17747457325458527,1.4901161193847656e-08,1.4901161193847656e-08
Hydrostatic,MUSCL-HR,train,scenario_000149,train:scenario_000149,0.17732465267181396,0.17729642987251282,2.822279930114746e-05,2.822279930114746e-05
Hydrostatic,MUSCL-HR,train,scenario_000150,train:scenario_000150,0.17747177183628082,0.17747220396995544,-4.3213367462158203e-07,4.3213367462158203e-07
Hydrostatic,MUSCL-HR,train,scenario_000151,train:scenario_000151,0.17746825516223907,0.1774657964706421,2.4586915969848633e-06,2.4586915969848633e-06
Hydrostatic,MUSCL-HR,train,scenario_000152,train:scenario_000152,0.1774536818265915,0.17745444178581238,-7.599592208862305e-07,7.599592208862305e-07
Hydrostatic,MUSCL-HR,train,scenario_000153,train:scenario_000153,0.17747604846954346,0.17747606337070465,-1.4901161193847656e-08,1.4901161193847656e-08
Hydrostatic,MUSCL-HR,train,scenario_000154,train:scenario_000154,0.17747272551059723,0.17747244238853455,2.8312206268310547e-07,2.8312206268310547e-07
Hydrostatic,MUSCL-HR,train,scenario_000155,train:scenario_000155,0.17736802995204926,0.1773260235786438,4.200637340545654e-05,4.200637340545654e-05
Hydrostatic,MUSCL-HR,train,scenario_000156,train:scenario_000156,0.1774747371673584,0.17747463285923004,1.043081283569336e-07,1.043081283569336e-07
Hydrostatic,MUSCL-HR,train,scenario_000157,train:scenario_000157,0.17746862769126892,0.17746806144714355,5.662441253662109e-07,5.662441253662109e-07
Hydrostatic,MUSCL-HR,train,scenario_000158,train:scenario_000158,0.17746368050575256,0.17746344208717346,2.384185791015625e-07,2.384185791015625e-07
Hydrostatic,MUSCL-HR,train,scenario_000159,train:scenario_000159,0.17735305428504944,0.17731323838233948,3.981590270996094e-05,3.981590270996094e-05
