dt_max,dt_min,end_time,final_time_target,grid,max_abs_eta,max_cfl_seen,max_speed_seen,min_h_seen,n_steps,ok,scenario_id,solver,solver_name,target_cfl
0.0006481140102714776,0.00016697390755670248,0.006,0.006,128,0.0348366159943867,0.3,0.03947569725034433,1.2053663101248369,10,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
0.0038898308088759844,0.0021101691911240158,0.006,0.006,32,0.028474116177000353,0.45,0.02992075002663443,1.2064110895005673,2,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
0.001944406299377345,0.00016678110186796498,0.006,0.006,64,0.03275467553051992,0.45,0.03748645241541115,1.2057145041767159,4,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
0.0009721710154072164,0.0001669739075567016,0.006,0.006,128,0.03478403258120144,0.45,0.0395457616328335,1.2053663101248369,7,True,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
0.0025401712497382313,0.0009211338441603399,0.006,0.006,32,0.02583207303288937,0.3001744609365924,0.020819660281846685,1.1921670270280047,3,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
0.0012684658692410573,0.000928312029098031,0.006,0.006,64,0.027163233166316303,0.300088591129859,0.023170925521255294,1.1918020524449497,5,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
0.0006340372658350346,0.0002974297573143407,0.006,0.006,128,0.027647373896509064,0.3000521255449367,0.023593056557084168,1.1917229847718156,10,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
0.003810256874607347,0.002189743125392653,0.006,0.006,32,0.0258111198771811,0.45038406202794945,0.020796078706232703,1.1921657515637936,2,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
0.001902698803861586,0.0002943385943632061,0.006,0.006,64,0.027158393029408145,0.45019667895874094,0.02326189851156583,1.1918014470216733,4,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
0.000951055898752552,0.0002972004817265511,0.006,0.006,128,0.02764558795840588,0.4501166368425706,0.023620646696161703,1.1917227594356512,7,True,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
