coarse_grid,comparison,fine_grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name,target_cfl
32,32_vs_restricted_64,64,2.967708832181203e-05,0.002521704594672769,0.05743751761048661,0.0001584887640903433,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.0746112557845973e-05,0.0017647561893326946,0.025561141069384653,7.266600571869182e-05,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,3.8768058911414327e-05,0.003868394260658714,0.07831428327182223,0.00021926608361185677,conv_0001,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,3.154302260688547e-05,0.0028589292768515517,0.062195833067368436,0.00017141698932461396,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.1488705566024032e-05,0.0019347450997188598,0.028086643149611523,7.982219543518886e-05,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,4.118083805937406e-05,0.004350325181429998,0.08512211690277435,0.00023826091847877235,conv_0001,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,3.6190933226184824e-05,0.0014289556425854388,0.030296607677691538,0.000125538089968072,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.1012691949210219e-05,0.0006120745851936338,0.01024971411157753,4.30517617344005e-05,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,4.621850061346729e-05,0.0019770589495149288,0.03969442773208028,0.00016536868900893266,conv_0002,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,3.778092497240922e-05,0.001540354207212824,0.032013449700180927,0.00013261280546309444,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.1465308118198639e-05,0.0006416031161012303,0.010904141413641164,4.5797183418536194e-05,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,4.7899340188979034e-05,0.00213166194203597,0.042040021284939104,0.00017512810373138577,conv_0002,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,1.3017676101284266e-05,0.0006694051712191618,0.021701956811837016,5.486892963638086e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,3.754728026225749e-06,0.00024846206448492225,0.006737326469840905,1.720663006318137e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,1.615245015660797e-05,0.0008597318829202949,0.027605258101401447,7.004285455170202e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,1.3536024337347486e-05,0.000694780304205167,0.022619927942138175,5.718016505889328e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,3.86595336957326e-06,0.00026504383784670127,0.007061882165654808,1.803471359686384e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,1.6779350671810407e-05,0.0008883593957458857,0.028746271296948976,7.293475852725878e-05,conv_0003,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,2.95697296076619e-05,0.0015276426067316051,0.02844967047008033,0.00011418053221832038,conv_0004,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,9.357837901992295e-06,0.000610473783657639,0.009877715560712916,4.013273386462102e-05,conv_0004,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,3.734119212998443e-05,0.0020269152135538454,0.036716636270856154,0.00014805148162159654,conv_0004,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,3.0386109181755735e-05,0.0017591723486673483,0.030107649617320754,0.00012080436619442436,conv_0004,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,9.81227489761641e-06,0.0006452295350826143,0.01056492906397843,4.29219982668164e-05,conv_0004,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,3.8522167809531605e-05,0.002297763979993747,0.03886215128980745,0.00015669302150270856,conv_0004,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,5.6848386154210626e-05,0.0025541571518140627,0.027626174243391748,0.00018991684824432888,conv_0005,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.7278997717815327e-05,0.001087483370496689,0.00947755466397682,6.595494552051963e-05,conv_0005,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,7.178477531975503e-05,0.00349229501451577,0.03572446731046103,0.0002467295335583516,conv_0005,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,5.907092868795888e-05,0.0027835862661765853,0.029246993641916387,0.00020100998706425828,conv_0005,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.7989962300218534e-05,0.0011418480665931208,0.010097817551667125,7.026687055145657e-05,conv_0005,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,7.432793180921018e-05,0.003778373339198088,0.03781320472468589,0.00026113925577016446,conv_0005,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,7.317587543381157e-05,0.0025319062531930503,0.04535658772829749,0.00024160364113646733,conv_0006,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,2.3239287814335298e-05,0.0010529403320074238,0.01612219593512638,8.768190615837349e-05,conv_0006,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,9.480704267671754e-05,0.0033718011477715665,0.05986863655351066,0.00032186231224552914,conv_0006,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,7.786896052555193e-05,0.002698532716634061,0.048575839136331456,0.0002586016335477291,conv_0006,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,2.446935840640667e-05,0.001134338699806392,0.0173634121496286,9.441842495875946e-05,conv_0006,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,0.00010037610656876725,0.00357669336118821,0.06408730292660514,0.00034449366054272086,conv_0006,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,2.3765199242768958e-05,0.002056783442812682,0.05634654187371434,0.00012736403604742322,conv_0007,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,8.05966762067173e-06,0.0009503139755612233,0.022241456904020965,5.171409616057132e-05,conv_0007,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,3.0585097567670813e-05,0.002923172528731352,0.07483559700743121,0.00017141981170825383,conv_0007,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,2.493484888925311e-05,0.002301842733968551,0.06079351837192834,0.0001372823151824921,conv_0007,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,8.559471996018764e-06,0.0010361775850935562,0.024257671670772068,5.638802036589928e-05,conv_0007,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,3.196283569339932e-05,0.003250919939480304,0.08081233160130272,0.0001850671005672117,conv_0007,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,2.58866982172056e-05,0.0022203408932571223,0.05112511388890633,0.00013692063119434374,conv_0008,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,7.980710964277754e-06,0.0009058754157840743,0.017978339712150262,4.932038746283083e-05,conv_0008,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,3.2878076977346365e-05,0.0030324057990889774,0.0664813082927194,0.00017999675817539435,conv_0008,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,2.7124513267764994e-05,0.002434456160042453,0.05480735697643288,0.0001466585834562025,conv_0008,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,8.564429253631671e-06,0.0009760943234466413,0.019743043998656354,5.4150080508728944e-05,conv_0008,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,3.44743955079868e-05,0.0033200508685811564,0.07151421993407707,0.00019358475195484118,conv_0008,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,3.3683411555250826e-05,0.0016880486952380314,0.0375186026572139,0.00015083369728752648,conv_0009,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.0935856041582661e-05,0.0006915478896761251,0.012986126698475034,5.31316564895043e-05,conv_0009,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,4.362902040583288e-05,0.00229888883194429,0.048993528746610955,0.00019839457832316658,conv_0009,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,3.5146821415222575e-05,0.0017587600519626823,0.03940829467379488,0.00015835942599749906,conv_0009,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.1538077283828409e-05,0.0007050124499605737,0.013905579878688052,5.688725431585134e-05,conv_0009,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,4.5579515056354844e-05,0.0023783907198465654,0.05164227943331573,0.0002090983290969371,conv_0009,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,5.527325314089068e-05,0.0016510251457742542,0.02637874637550589,0.0001683831394967406,conv_0010,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.779513093558151e-05,0.0007967448648058539,0.00948035411018258,6.113603937671599e-05,conv_0010,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,7.07955665006603e-05,0.0023594668264460966,0.03460681354429111,0.00022179721883718509,conv_0010,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,5.878139661850832e-05,0.0018531623053287816,0.02844337702184602,0.00018151993370049433,conv_0010,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.880704492837818e-05,0.0008520459688650117,0.010193204858460318,6.572887155995864e-05,conv_0010,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,7.508108346676506e-05,0.0026213800164273104,0.037290222120310954,0.00023898119130772157,conv_0010,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_64,64,4.824023846178901e-05,0.001994494165644678,0.03763808622361415,0.00019223418695328893,conv_0011,MUSCL-HR,swe_muscl_hr,0.3
64,64_vs_restricted_128,128,1.4801985639685601e-05,0.0009445631842989188,0.012552507591318391,6.536030415271882e-05,conv_0011,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_128,128,6.071589456284095e-05,0.002653316874791603,0.04836161222599639,0.00024893777475201685,conv_0011,MUSCL-HR,swe_muscl_hr,0.3
32,32_vs_restricted_64,64,5.042883236606007e-05,0.002115371493534801,0.03941784018987877,0.000201231840263283,conv_0011,MUSCL-HR,swe_muscl_hr,0.45
64,64_vs_restricted_128,128,1.540930953128911e-05,0.0009588960756558573,0.013277461815003923,6.912739813204035e-05,conv_0011,MUSCL-HR,swe_muscl_hr,0.45
32,32_vs_restricted_128,128,6.344144780853712e-05,0.0028202916257902694,0.05073149557658505,0.0002611085036964253,conv_0011,MUSCL-HR,swe_muscl_hr,0.45
