cfl_a,cfl_b,grid,mae,max_abs,rel_l2,rmse,scenario_id,solver,solver_name
0.3,0.45,128,4.238351916698984e-07,2.560172102028524e-05,0.0002630855125768941,1.834226574077904e-06,conv_0005,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,7.947283756494549e-06,0.0003102458701484956,0.005729581197053628,2.9568767006567226e-05,conv_0006,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,2.8243448694759794e-06,0.00015453829567135813,0.0022378176048409434,1.2050912258124832e-05,conv_0006,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,6.779093005177016e-07,4.705743286237407e-05,0.0005423050977542873,2.9575123414516984e-06,conv_0006,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,2.768460477424418e-06,0.0003576743696767082,0.00839606730689563,1.816225036469033e-05,conv_0007,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.1891614715618887e-06,0.00012358797497924456,0.003510575127939529,8.042821510233648e-06,conv_0007,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.8931658806424614e-07,3.4629442517752906e-05,0.0008390804832743946,1.9578190381025447e-06,conv_0007,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.062602378340858e-06,0.0003150974771037873,0.007209243955530356,1.857606040547955e-05,conv_0008,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.246937207355608e-06,0.00011529823007982998,0.0029228186764513513,7.921058624065154e-06,conv_0008,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.9613864791030347e-07,2.9233629089464586e-05,0.0006847029534811293,1.8842576181951809e-06,conv_0008,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,3.166660679107319e-06,0.0002567730534699386,0.003973731645323107,1.5561214818331196e-05,conv_0009,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.3176753191874264e-06,0.00013393172199727132,0.0017149334223866483,6.9617584787654945e-06,conv_0009,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,2.977333533615178e-07,3.054399554325293e-05,0.00037677750648954455,1.5454021511475063e-06,conv_0009,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,6.397391606902721e-06,0.0002849042112480493,0.0035900976489391875,2.2582144383511604e-05,conv_0010,MUSCL-HR,swe_muscl_hr
0.3,0.45,64,1.9428575907975325e-06,9.411605189901806e-05,0.0011980607964647842,7.692394805121542e-06,conv_0010,MUSCL-HR,swe_muscl_hr
0.3,0.45,128,4.848666216719844e-07,2.710464213850905e-05,0.0003000169248521736,1.9376216990189057e-06,conv_0010,MUSCL-HR,swe_muscl_hr
0.3,0.45,32,4.525499778685032e-06,0.0001821355348967657,0.003502397420986111,1.7355767063858878e-05,conv_0011,MUSCL-HR,swe_muscl_hr
